combo,agent,train_size,skill_mode,issue,repo,has_patch,has_agent_log,has_eval,outcome,report_tail
mini-swe-agent_40,mini-swe-agent,40,with,issue-3899,crewAIInc/crewAI,True,True,True,error,"git apply failed:
error: corrupt patch at line 26"
mini-swe-agent_40,mini-swe-agent,40,without,issue-3899,crewAIInc/crewAI,False,True,False,,
mini-swe-agent_40,mini-swe-agent,40,with,issue-3623,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_40,mini-swe-agent,40,without,issue-3623,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_40,mini-swe-agent,40,with,issue-831,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_40,mini-swe-agent,40,without,issue-831,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_40,mini-swe-agent,40,with,issue-1538,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_40,mini-swe-agent,40,without,issue-1538,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_40,mini-swe-agent,40,with,issue-1900,agentscope-ai/agentscope,False,True,False,,
mini-swe-agent_40,mini-swe-agent,40,without,issue-1900,agentscope-ai/agentscope,False,True,False,,
mini-swe-agent_40,mini-swe-agent,40,with,issue-1714,agentscope-ai/agentscope,False,False,False,,
mini-swe-agent_40,mini-swe-agent,40,without,issue-1714,agentscope-ai/agentscope,False,False,False,,
mini-swe-agent_40,mini-swe-agent,40,with,issue-337,strands-agents/harness-sdk,False,False,False,,
mini-swe-agent_40,mini-swe-agent,40,without,issue-337,strands-agents/harness-sdk,False,False,False,,
mini-swe-agent_40,mini-swe-agent,40,with,issue-579,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_40,mini-swe-agent,40,without,issue-579,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_40,mini-swe-agent,40,with,issue-2296,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_40,mini-swe-agent,40,without,issue-2296,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_40,mini-swe-agent,40,with,issue-1885,agentscope-ai/agentscope,False,True,False,,
mini-swe-agent_40,mini-swe-agent,40,without,issue-1885,agentscope-ai/agentscope,False,True,False,,
mini-swe-agent_40,mini-swe-agent,40,with,issue-959,agentscope-ai/agentscope,False,True,False,,
mini-swe-agent_40,mini-swe-agent,40,without,issue-959,agentscope-ai/agentscope,False,True,False,,
mini-swe-agent_40,mini-swe-agent,40,with,issue-1221,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_40,mini-swe-agent,40,without,issue-1221,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_40,mini-swe-agent,40,with,issue-350,strands-agents/harness-sdk,False,False,False,,
mini-swe-agent_40,mini-swe-agent,40,without,issue-350,strands-agents/harness-sdk,False,False,False,,
mini-swe-agent_40,mini-swe-agent,40,with,issue-3152,crewAIInc/crewAI,False,True,False,,
mini-swe-agent_40,mini-swe-agent,40,without,issue-3152,crewAIInc/crewAI,False,True,False,,
mini-swe-agent_40,mini-swe-agent,40,with,issue-2210,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_40,mini-swe-agent,40,without,issue-2210,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_40,mini-swe-agent,40,with,issue-1077,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_40,mini-swe-agent,40,without,issue-1077,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_40,mini-swe-agent,40,with,issue-362,strands-agents/harness-sdk,False,False,False,,
mini-swe-agent_40,mini-swe-agent,40,without,issue-362,strands-agents/harness-sdk,False,False,False,,
mini-swe-agent_40,mini-swe-agent,40,with,issue-1702,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_40,mini-swe-agent,40,without,issue-1702,strands-agents/harness-sdk,False,True,False,,
mini-swe-agent_40,mini-swe-agent,40,with,issue-196,agentscope-ai/agentscope,False,True,False,,
mini-swe-agent_40,mini-swe-agent,40,without,issue-196,agentscope-ai/agentscope,False,True,False,,
mini-swe-agent_40,mini-swe-agent,40,with,issue-1439,crewAIInc/crewAI,True,True,True,error,"git apply failed:
error: corrupt patch at line 57"
mini-swe-agent_40,mini-swe-agent,40,without,issue-1439,crewAIInc/crewAI,True,True,True,error,"git apply failed:
error: corrupt patch at line 49"
openhands_40,openhands,40,with,issue-1714,agentscope-ai/agentscope,False,False,False,,
openhands_40,openhands,40,without,issue-1714,agentscope-ai/agentscope,False,False,False,,
openhands_40,openhands,40,with,issue-2776,crewAIInc/crewAI,False,True,False,,
openhands_40,openhands,40,without,issue-2776,crewAIInc/crewAI,False,True,False,,
openhands_40,openhands,40,with,issue-2296,strands-agents/harness-sdk,False,True,False,,
openhands_40,openhands,40,without,issue-2296,strands-agents/harness-sdk,False,True,False,,
openhands_40,openhands,40,with,issue-1277,agentscope-ai/agentscope,False,True,False,,
openhands_40,openhands,40,without,issue-1277,agentscope-ai/agentscope,False,True,False,,
openhands_40,openhands,40,with,issue-1723,agentscope-ai/agentscope,False,True,False,,
openhands_40,openhands,40,without,issue-1723,agentscope-ai/agentscope,False,True,False,,
openhands_40,openhands,40,with,issue-2434,crewAIInc/crewAI,False,True,False,,
openhands_40,openhands,40,without,issue-2434,crewAIInc/crewAI,False,True,False,,
openhands_40,openhands,40,with,issue-2173,strands-agents/harness-sdk,False,True,False,,
openhands_40,openhands,40,without,issue-2173,strands-agents/harness-sdk,False,True,False,,
openhands_40,openhands,40,with,issue-1190,strands-agents/harness-sdk,False,True,False,,
openhands_40,openhands,40,without,issue-1190,strands-agents/harness-sdk,False,True,False,,
openhands_40,openhands,40,with,issue-1432,strands-agents/harness-sdk,False,True,False,,
openhands_40,openhands,40,without,issue-1432,strands-agents/harness-sdk,False,True,False,,
openhands_40,openhands,40,with,issue-1651,strands-agents/harness-sdk,False,True,False,,
openhands_40,openhands,40,without,issue-1651,strands-agents/harness-sdk,False,True,False,,
openhands_40,openhands,40,with,issue-1351,agentscope-ai/agentscope,False,False,False,,
openhands_40,openhands,40,without,issue-1351,agentscope-ai/agentscope,False,False,False,,
openhands_40,openhands,40,with,issue-2910,crewAIInc/crewAI,False,True,False,,
openhands_40,openhands,40,without,issue-2910,crewAIInc/crewAI,False,True,False,,
openhands_40,openhands,40,with,issue-362,strands-agents/harness-sdk,False,False,False,,
openhands_40,openhands,40,without,issue-362,strands-agents/harness-sdk,False,False,False,,
openhands_40,openhands,40,with,issue-1686,strands-agents/harness-sdk,False,True,False,,
openhands_40,openhands,40,without,issue-1686,strands-agents/harness-sdk,False,True,False,,
openhands_40,openhands,40,with,issue-1221,strands-agents/harness-sdk,False,True,False,,
