agent,skill_mode,issue,repo,has_patch,has_agent_log,outcome,report_tail
mini-swe-agent,with,issue-3899,crewAIInc/crewAI,True,True,error,"git apply failed:
error: corrupt patch at line 26"
mini-swe-agent,with,issue-3623,strands-agents/harness-sdk,False,True,,
mini-swe-agent,with,issue-831,strands-agents/harness-sdk,False,True,,
mini-swe-agent,with,issue-1538,strands-agents/harness-sdk,False,True,,
mini-swe-agent,with,issue-1900,agentscope-ai/agentscope,False,True,,
mini-swe-agent,with,issue-1714,agentscope-ai/agentscope,False,False,,
mini-swe-agent,with,issue-337,strands-agents/harness-sdk,False,False,,
mini-swe-agent,with,issue-579,strands-agents/harness-sdk,False,True,,
mini-swe-agent,with,issue-2296,strands-agents/harness-sdk,False,True,,
mini-swe-agent,with,issue-1885,agentscope-ai/agentscope,False,True,,
mini-swe-agent,with,issue-959,agentscope-ai/agentscope,False,True,,
mini-swe-agent,with,issue-1221,strands-agents/harness-sdk,False,True,,
mini-swe-agent,with,issue-350,strands-agents/harness-sdk,False,False,,
mini-swe-agent,with,issue-3152,crewAIInc/crewAI,False,True,,
mini-swe-agent,with,issue-2210,strands-agents/harness-sdk,False,True,,
mini-swe-agent,with,issue-1077,strands-agents/harness-sdk,False,True,,
mini-swe-agent,with,issue-362,strands-agents/harness-sdk,False,False,,
mini-swe-agent,with,issue-1702,strands-agents/harness-sdk,False,True,,
mini-swe-agent,with,issue-196,agentscope-ai/agentscope,False,True,,
mini-swe-agent,with,issue-1439,crewAIInc/crewAI,True,True,error,"git apply failed:
error: corrupt patch at line 57"
mini-swe-agent,without,issue-3899,crewAIInc/crewAI,False,True,,
mini-swe-agent,without,issue-3623,strands-agents/harness-sdk,False,True,,
mini-swe-agent,without,issue-831,strands-agents/harness-sdk,False,True,,
mini-swe-agent,without,issue-1538,strands-agents/harness-sdk,False,True,,
mini-swe-agent,without,issue-1900,agentscope-ai/agentscope,False,True,,
mini-swe-agent,without,issue-1714,agentscope-ai/agentscope,False,False,,
mini-swe-agent,without,issue-337,strands-agents/harness-sdk,False,False,,
mini-swe-agent,without,issue-579,strands-agents/harness-sdk,False,True,,
mini-swe-agent,without,issue-2296,strands-agents/harness-sdk,False,True,,
mini-swe-agent,without,issue-1885,agentscope-ai/agentscope,False,True,,
mini-swe-agent,without,issue-959,agentscope-ai/agentscope,False,True,,
mini-swe-agent,without,issue-1221,strands-agents/harness-sdk,False,True,,
mini-swe-agent,without,issue-350,strands-agents/harness-sdk,False,False,,
mini-swe-agent,without,issue-3152,crewAIInc/crewAI,False,True,,
mini-swe-agent,without,issue-2210,strands-agents/harness-sdk,False,True,,
mini-swe-agent,without,issue-1077,strands-agents/harness-sdk,False,True,,
mini-swe-agent,without,issue-362,strands-agents/harness-sdk,False,False,,
mini-swe-agent,without,issue-1702,strands-agents/harness-sdk,False,True,,
mini-swe-agent,without,issue-196,agentscope-ai/agentscope,False,True,,
mini-swe-agent,without,issue-1439,crewAIInc/crewAI,True,True,error,"git apply failed:
error: corrupt patch at line 49"
openhands,with,issue-3899,crewAIInc/crewAI,False,True,,
openhands,with,issue-3623,strands-agents/harness-sdk,False,True,,
openhands,with,issue-831,strands-agents/harness-sdk,False,True,,
openhands,with,issue-1538,strands-agents/harness-sdk,False,True,,
openhands,with,issue-1900,agentscope-ai/agentscope,False,True,,
openhands,with,issue-1714,agentscope-ai/agentscope,False,False,,
openhands,with,issue-337,strands-agents/harness-sdk,False,False,,
openhands,with,issue-579,strands-agents/harness-sdk,False,True,,
openhands,with,issue-2296,strands-agents/harness-sdk,False,True,,
openhands,with,issue-1885,agentscope-ai/agentscope,False,True,,
openhands,with,issue-959,agentscope-ai/agentscope,False,True,,
openhands,with,issue-1221,strands-agents/harness-sdk,False,True,,
openhands,with,issue-350,strands-agents/harness-sdk,False,False,,
openhands,with,issue-3152,crewAIInc/crewAI,False,True,,
openhands,with,issue-2210,strands-agents/harness-sdk,False,True,,
openhands,with,issue-1077,strands-agents/harness-sdk,False,True,,
openhands,with,issue-362,strands-agents/harness-sdk,False,False,,
openhands,with,issue-1702,strands-agents/harness-sdk,False,True,,
openhands,with,issue-196,agentscope-ai/agentscope,False,True,,
openhands,with,issue-1439,crewAIInc/crewAI,True,True,f2f,"--- Phase A: docker build (before patch) ---
--- Phase B: run test in container (expect failure for fail2pass) ---
test command exit code: 4
--- Phase C: git apply patch ---
--- Phase D: docker build "
openhands,without,issue-3899,crewAIInc/crewAI,False,True,,
openhands,without,issue-3623,strands-agents/harness-sdk,False,True,,
openhands,without,issue-831,strands-agents/harness-sdk,False,True,,
openhands,without,issue-1538,strands-agents/harness-sdk,False,True,,
openhands,without,issue-1900,agentscope-ai/agentscope,False,True,,
openhands,without,issue-1714,agentscope-ai/agentscope,False,False,,
openhands,without,issue-337,strands-agents/harness-sdk,False,False,,
openhands,without,issue-579,strands-agents/harness-sdk,False,True,,
openhands,without,issue-2296,strands-agents/harness-sdk,False,True,,
openhands,without,issue-1885,agentscope-ai/agentscope,False,True,,
openhands,without,issue-959,agentscope-ai/agentscope,False,True,,
openhands,without,issue-1221,strands-agents/harness-sdk,False,True,,
openhands,without,issue-350,strands-agents/harness-sdk,False,False,,
