agent,skill_mode,issue,repo,has_patch,has_agent_log,outcome,report_tail
mini-swe-agent,with,issue-1714,agentscope-ai/agentscope,False,False,,
mini-swe-agent,with,issue-2776,crewAIInc/crewAI,False,True,,
mini-swe-agent,with,issue-2296,strands-agents/harness-sdk,False,True,,
mini-swe-agent,with,issue-1277,agentscope-ai/agentscope,False,True,,
mini-swe-agent,with,issue-1723,agentscope-ai/agentscope,False,True,,
mini-swe-agent,with,issue-2434,crewAIInc/crewAI,False,True,,
mini-swe-agent,with,issue-2173,strands-agents/harness-sdk,False,True,,
mini-swe-agent,with,issue-1190,strands-agents/harness-sdk,False,True,,
mini-swe-agent,with,issue-1432,strands-agents/harness-sdk,False,True,,
mini-swe-agent,with,issue-1651,strands-agents/harness-sdk,False,True,,
mini-swe-agent,with,issue-1351,agentscope-ai/agentscope,False,False,,
mini-swe-agent,with,issue-2910,crewAIInc/crewAI,False,True,,
mini-swe-agent,with,issue-362,strands-agents/harness-sdk,False,False,,
mini-swe-agent,with,issue-1686,strands-agents/harness-sdk,False,True,,
mini-swe-agent,with,issue-1221,strands-agents/harness-sdk,False,True,,
mini-swe-agent,with,issue-2899,crewAIInc/crewAI,False,True,,
mini-swe-agent,with,issue-2163,strands-agents/harness-sdk,False,True,,
mini-swe-agent,with,issue-1890,agentscope-ai/agentscope,False,True,,
mini-swe-agent,with,issue-974,strands-agents/sdk-python,False,False,,
mini-swe-agent,with,issue-2007,strands-agents/harness-sdk,False,True,,
mini-swe-agent,without,issue-1714,agentscope-ai/agentscope,False,False,,
mini-swe-agent,without,issue-2776,crewAIInc/crewAI,False,True,,
mini-swe-agent,without,issue-2296,strands-agents/harness-sdk,False,True,,
mini-swe-agent,without,issue-1277,agentscope-ai/agentscope,False,True,,
mini-swe-agent,without,issue-1723,agentscope-ai/agentscope,False,True,,
mini-swe-agent,without,issue-2434,crewAIInc/crewAI,False,True,,
mini-swe-agent,without,issue-2173,strands-agents/harness-sdk,False,True,,
mini-swe-agent,without,issue-1190,strands-agents/harness-sdk,False,True,,
mini-swe-agent,without,issue-1432,strands-agents/harness-sdk,False,True,,
mini-swe-agent,without,issue-1651,strands-agents/harness-sdk,False,True,,
mini-swe-agent,without,issue-1351,agentscope-ai/agentscope,False,False,,
mini-swe-agent,without,issue-2910,crewAIInc/crewAI,False,True,,
mini-swe-agent,without,issue-362,strands-agents/harness-sdk,False,False,,
mini-swe-agent,without,issue-1686,strands-agents/harness-sdk,False,True,,
mini-swe-agent,without,issue-1221,strands-agents/harness-sdk,False,True,,
mini-swe-agent,without,issue-2899,crewAIInc/crewAI,False,True,,
mini-swe-agent,without,issue-2163,strands-agents/harness-sdk,False,True,,
mini-swe-agent,without,issue-1890,agentscope-ai/agentscope,False,True,,
mini-swe-agent,without,issue-974,strands-agents/sdk-python,False,False,,
mini-swe-agent,without,issue-2007,strands-agents/harness-sdk,False,True,,
openhands,with,issue-1714,agentscope-ai/agentscope,False,False,,
openhands,with,issue-2776,crewAIInc/crewAI,False,True,,
openhands,with,issue-2296,strands-agents/harness-sdk,False,True,,
openhands,with,issue-1277,agentscope-ai/agentscope,False,True,,
openhands,with,issue-1723,agentscope-ai/agentscope,False,True,,
openhands,with,issue-2434,crewAIInc/crewAI,False,True,,
openhands,with,issue-2173,strands-agents/harness-sdk,False,True,,
openhands,with,issue-1190,strands-agents/harness-sdk,False,True,,
openhands,with,issue-1432,strands-agents/harness-sdk,False,True,,
openhands,with,issue-1651,strands-agents/harness-sdk,False,True,,
openhands,with,issue-1351,agentscope-ai/agentscope,False,False,,
openhands,with,issue-2910,crewAIInc/crewAI,False,True,,
openhands,with,issue-362,strands-agents/harness-sdk,False,False,,
openhands,with,issue-1686,strands-agents/harness-sdk,False,True,,
openhands,with,issue-1221,strands-agents/harness-sdk,False,True,,
openhands,with,issue-2899,crewAIInc/crewAI,False,True,,
openhands,with,issue-2163,strands-agents/harness-sdk,False,True,,
openhands,with,issue-1890,agentscope-ai/agentscope,False,True,,
openhands,with,issue-974,strands-agents/sdk-python,False,False,,
openhands,with,issue-2007,strands-agents/harness-sdk,False,True,,
openhands,without,issue-1714,agentscope-ai/agentscope,False,False,,
openhands,without,issue-2776,crewAIInc/crewAI,False,True,,
openhands,without,issue-2296,strands-agents/harness-sdk,False,True,,
openhands,without,issue-1277,agentscope-ai/agentscope,False,True,,
openhands,without,issue-1723,agentscope-ai/agentscope,False,True,,
openhands,without,issue-2434,crewAIInc/crewAI,False,True,,
openhands,without,issue-2173,strands-agents/harness-sdk,False,True,,
openhands,without,issue-1190,strands-agents/harness-sdk,False,True,,
openhands,without,issue-1432,strands-agents/harness-sdk,False,True,,
openhands,without,issue-1651,strands-agents/harness-sdk,False,True,,
openhands,without,issue-1351,agentscope-ai/agentscope,False,False,,
openhands,without,issue-2910,crewAIInc/crewAI,False,True,,
openhands,without,issue-362,strands-agents/harness-sdk,False,False,,
openhands,without,issue-1686,strands-agents/harness-sdk,False,True,,
openhands,without,issue-1221,strands-agents/harness-sdk,False,True,,
openhands,without,issue-2899,crewAIInc/crewAI,False,True,,
openhands,without,issue-2163,strands-agents/harness-sdk,False,True,,
openhands,without,issue-1890,agentscope-ai/agentscope,False,True,,
openhands,without,issue-974,strands-agents/sdk-python,False,False,,
openhands,without,issue-2007,strands-agents/harness-sdk,False,True,,
