agent,scale,skill,issue,has_patch,outcome,report
mini-swe-agent,40,with_skill,issue-1208,True,error,docker build failed (base)
mini-swe-agent,40,without_skill,issue-1208,True,error,docker build failed (base)
mini-swe-agent,40,with_skill,issue-1351,False,,no patch
mini-swe-agent,40,without_skill,issue-1351,False,,no patch
mini-swe-agent,40,with_skill,issue-1689,True,error,docker build failed (base)
mini-swe-agent,40,without_skill,issue-1689,True,error,docker build failed (base)
mini-swe-agent,40,with_skill,issue-3493,True,error,docker build failed (base)
mini-swe-agent,40,without_skill,issue-3493,True,error,docker build failed (base)
mini-swe-agent,40,with_skill,issue-1528,True,error,docker build failed (base)
mini-swe-agent,40,without_skill,issue-1528,True,error,docker build failed (base)
mini-swe-agent,60,with_skill,issue-1208,True,error,docker build failed (base)
mini-swe-agent,60,without_skill,issue-1208,True,error,docker build failed (base)
mini-swe-agent,60,with_skill,issue-1351,False,,no patch
mini-swe-agent,60,without_skill,issue-1351,False,,no patch
mini-swe-agent,60,with_skill,issue-1689,True,error,docker build failed (base)
mini-swe-agent,60,without_skill,issue-1689,True,error,docker build failed (base)
mini-swe-agent,60,with_skill,issue-3493,True,error,docker build failed (base)
mini-swe-agent,60,without_skill,issue-3493,True,error,docker build failed (base)
mini-swe-agent,60,with_skill,issue-1528,True,error,docker build failed (base)
mini-swe-agent,60,without_skill,issue-1528,True,error,docker build failed (base)
mini-swe-agent,80,with_skill,issue-1208,True,error,docker build failed (base)
mini-swe-agent,80,without_skill,issue-1208,True,error,docker build failed (base)
mini-swe-agent,80,with_skill,issue-1351,False,,no patch
mini-swe-agent,80,without_skill,issue-1351,False,,no patch
mini-swe-agent,80,with_skill,issue-1689,True,error,docker build failed (base)
mini-swe-agent,80,without_skill,issue-1689,True,error,docker build failed (base)
mini-swe-agent,80,with_skill,issue-3493,True,error,docker build failed (base)
mini-swe-agent,80,without_skill,issue-3493,True,error,docker build failed (base)
mini-swe-agent,80,with_skill,issue-1528,True,error,docker build failed (base)
mini-swe-agent,80,without_skill,issue-1528,True,error,docker build failed (base)
openhands,40,with_skill,issue-1208,True,error,docker build failed (base)
openhands,40,without_skill,issue-1208,True,error,docker build failed (base)
openhands,40,with_skill,issue-1351,False,,no patch
openhands,40,without_skill,issue-1351,False,,no patch
openhands,40,with_skill,issue-1689,True,error,docker build failed (base)
openhands,40,without_skill,issue-1689,True,error,docker build failed (base)
openhands,40,with_skill,issue-3493,True,error,docker build failed (base)
openhands,40,without_skill,issue-3493,True,error,docker build failed (base)
openhands,40,with_skill,issue-1528,True,error,docker build failed (base)
openhands,40,without_skill,issue-1528,True,error,docker build failed (base)
openhands,60,with_skill,issue-1208,True,error,docker build failed (base)
openhands,60,without_skill,issue-1208,True,error,docker build failed (base)
openhands,60,with_skill,issue-1351,False,,no patch
openhands,60,without_skill,issue-1351,False,,no patch
openhands,60,with_skill,issue-1689,True,error,docker build failed (base)
openhands,60,without_skill,issue-1689,True,error,docker build failed (base)
openhands,60,with_skill,issue-3493,True,error,docker build failed (base)
openhands,60,without_skill,issue-3493,True,error,docker build failed (base)
openhands,60,with_skill,issue-1528,True,error,docker build failed (base)
openhands,60,without_skill,issue-1528,True,error,docker build failed (base)
openhands,80,with_skill,issue-1208,True,error,docker build failed (base)
openhands,80,without_skill,issue-1208,True,error,docker build failed (base)
openhands,80,with_skill,issue-1351,False,,no patch
openhands,80,without_skill,issue-1351,False,,no patch
openhands,80,with_skill,issue-1689,True,error,docker build failed (base)
openhands,80,without_skill,issue-1689,True,error,docker build failed (base)
openhands,80,with_skill,issue-3493,True,error,docker build failed (base)
openhands,80,without_skill,issue-3493,True,error,docker build failed (base)
openhands,80,with_skill,issue-1528,True,error,docker build failed (base)
openhands,80,without_skill,issue-1528,True,error,docker build failed (base)
