agent,skill_mode,issue,repo,has_patch,has_agent_log,outcome,report_tail
mini-swe-agent,with,issue-1077,strands-agents/harness-sdk,False,False,,
mini-swe-agent,with,issue-1058,agentscope-ai/agentscope,True,True,f2f,"cond test run (tail) ---

==================================== ERRORS ====================================
_____________ ERROR collecting tests/agentsmith_fail2pass_1058.py ______________
ImportError "
mini-swe-agent,with,issue-1439,crewAIInc/crewAI,True,True,error,"git apply failed:
error: corrupt patch at line 57"
mini-swe-agent,with,issue-102,agentscope-ai/agentscope,True,True,p2p,"                                            [100%]
=============================== warnings summary ===============================
tests/agentsmith_fail2pass_102.py::test_agentscope_web_studio_import"
mini-swe-agent,with,issue-1006,strands-agents/harness-sdk,False,False,,
mini-swe-agent,with,issue-1020,strands-agents/harness-sdk,False,False,,
mini-swe-agent,with,issue-1136,agentscope-ai/agentscope,False,False,,
mini-swe-agent,with,issue-1067,strands-agents/harness-sdk,False,False,,
mini-swe-agent,with,issue-1158,strands-agents/harness-sdk,False,False,,
mini-swe-agent,with,issue-1131,strands-agents/harness-sdk,False,False,,
mini-swe-agent,with,issue-1164,strands-agents/harness-sdk,False,False,,
mini-swe-agent,with,issue-1190,strands-agents/harness-sdk,False,False,,
mini-swe-agent,with,issue-1197,strands-agents/harness-sdk,False,False,,
mini-swe-agent,with,issue-1210,strands-agents/harness-sdk,False,False,,
mini-swe-agent,with,issue-1176,strands-agents/harness-sdk,False,False,,
mini-swe-agent,with,issue-1160,strands-agents/harness-sdk,False,False,,
mini-swe-agent,with,issue-1260,strands-agents/harness-sdk,False,False,,
mini-swe-agent,with,issue-1208,strands-agents/harness-sdk,False,False,,
mini-swe-agent,with,issue-1272,strands-agents/harness-sdk,False,False,,
mini-swe-agent,with,issue-1221,strands-agents/harness-sdk,False,False,,
mini-swe-agent,without,issue-1077,strands-agents/harness-sdk,False,False,,
mini-swe-agent,without,issue-1058,agentscope-ai/agentscope,True,True,f2f,"_____ ERROR collecting tests/agentsmith_fail2pass_1058.py ______________
/usr/local/lib/python3.12/site-packages/_pytest/python.py:508: in importtestmodule
    mod = import_path(
/usr/local/lib/python"
mini-swe-agent,without,issue-1439,crewAIInc/crewAI,True,True,error,"git apply failed:
error: corrupt patch at line 49"
mini-swe-agent,without,issue-102,agentscope-ai/agentscope,True,True,error,"git apply failed:
error: git apply: bad git-diff - expected /dev/null on line 2"
mini-swe-agent,without,issue-1006,strands-agents/harness-sdk,False,False,,
mini-swe-agent,without,issue-1020,strands-agents/harness-sdk,False,False,,
mini-swe-agent,without,issue-1136,agentscope-ai/agentscope,False,False,,
mini-swe-agent,without,issue-1067,strands-agents/harness-sdk,False,False,,
mini-swe-agent,without,issue-1158,strands-agents/harness-sdk,False,False,,
mini-swe-agent,without,issue-1131,strands-agents/harness-sdk,False,False,,
mini-swe-agent,without,issue-1164,strands-agents/harness-sdk,False,False,,
mini-swe-agent,without,issue-1190,strands-agents/harness-sdk,False,False,,
mini-swe-agent,without,issue-1197,strands-agents/harness-sdk,False,False,,
mini-swe-agent,without,issue-1210,strands-agents/harness-sdk,False,False,,
mini-swe-agent,without,issue-1176,strands-agents/harness-sdk,False,False,,
mini-swe-agent,without,issue-1160,strands-agents/harness-sdk,False,False,,
